T-Shirt,Shoes,Shorts,Shirt,Pants,Skirt,Other,Top,Outwear,Dress,Body,Longsleeve,Undershirt,Hat,Polo,Blouse,Hoodie,Skip,Blazer
반팔 티셔츠,캔버스/단화,숏 팬츠,셔츠/블라우스,데님 팬츠,미니스커트,,민소매티셔츠,후드 집업,미니 원피스,점프슈트/오버올,긴팔 티셔츠,,캡/야구 모자,피케/카라 티셔츠,셔츠/블라우스,후드티셔츠,,슈트/블레이저 재킷
긴팔 티셔츠,농구화,,,코튼 팬츠,미디스커트,,후드 티셔츠,블루종/MA-1,미디 원피스,,맨투맨/스웨트셔츠,,버킷/사파리햇,,,,,
,러닝화/피트니스화,,,레깅스,롱스커트,,기타 상의,레더/라이더스 재킷,맥시 원피스,,니트/스웨터,,헌팅캡/베레모,,,,,
,기타 스니커즈,,,슈트 팬츠/슬랙스,,,,트러커 재킷,,,,,비니,,,,,
,구두,,,트레이닝/조거 팬츠,,,,카디건,,,,,페도라,,,,,
,샌들,,,기타 바지,,,,아노락 재킷,,,,,트루퍼,,,,,
,로퍼,,,,,,,플리스/뽀글이,,,,,기타모자,,,,,
,슬리퍼,,,,,,,트레이닝 재킷,,,,,,,,,,
,힐/펌프스,,,,,,,스타디움 재킷,,,,,,,,,,
,기타 신발,,,,,,,환절기 코트,,,,,,,,,,
,플랫 슈즈,,,,,,,겨울 싱글 코트,,,,,,,,,,
,모카신/보트 슈즈,,,,,,,겨울 기타 코트,,,,,,,,,,
,블로퍼,,,,,,,롱 패딩/롱 헤비 아우터,,,,,,,,,,
,부츠,,,,,,,숏 패딩/ 숏 헤비 아우터,,,,,,,,,,
,신발 용품,,,,,,,패딩 베스트,,,,,,,,,,
,,,,,,,,베스트,,,,,,,,,,
,,,,,,,,사파리/헌팅 재킷,,,,,,,,,,
,,,,,,,,나일론/코치 재킷,,,,,,,,,,
,,,,,,,,기타 아우터,,,,,,,,,,
