,kor,eng,rgb,ycbcr
0,마룬, maroon,"128,0,0","38.27,106.4,192.0"
1,다크레드, darkred,"139,0,0","41.56,104.55,197.5"
2,브라운, brown,"165,42,42","78.78,107.24,189.5"
3,파이어브릭, firebrick,"178,34,34","77.06,103.7,200.0"
4,크림슨, crimson,"220,20,60","84.36,114.25,224.75"
5,레드, red,"255,0,0","76.24,84.97,255.5"
6,오렌지레드, orangered,"255,69,0","116.75,62.11,226.61"
7,토마토, tomato,"255,99,71","142.45,87.68,208.28"
8,코랄, coral,"255,127,80","159.91,82.9,195.82"
9,샌디브라운, sandybrown,"244,164,96","180.17,80.5,173.53"
10,벌리우드, burlywood,"222,184,135","189.78,97.09,150.98"
11,탠, tan,"210,180,140","184.41,102.94,146.25"
12,라이트새먼, lightsalmon,"255,160,122","184.07,92.97,178.59"
13,다크새먼, darksalmon,"233,150,122","171.62,99.99,171.78"
14,라이트코랄, lightcoral,"240,128,128","161.49,109.1,184.0"
15,새먼, salmon,"250,128,114","162.88,100.41,190.14"
16,인디안레드, indianred,"205,92,92","125.79,108.93,184.5"
17,로지브라운, rosybrown,"188,143,143","156.45,120.41,150.5"
18,새들브라운, saddlebrown,"139,69,19","84.23,91.19,167.07"
19,시에나, sienna,"160,82,45","101.1,96.34,170.01"
20,초콜렛, chocolate,"210,105,30","127.84,72.78,186.6"
21,다크오렌지, darkorange,"255,140,0","158.42,38.59,196.88"
22,오렌지, orange,"255,165,0","173.1,30.31,186.42"
23,페루, peru,"205,133,63","146.55,80.85,169.69"
24,다크골덴로드, darkgoldenrod,"184,134,11","134.93,58.06,163.0"
25,골덴로드, goldenrod,"218,165,32","165.68,52.56,165.31"
26,골드, gold,"255,215,0","202.45,13.75,165.48"
27,옐로우, yellow,"255,255,0","225.93,0.5,148.73"
28,라이트골덴로드옐로우, lightgoldenrodyellow,"250,250,210","245.44,108.0,131.25"
29,비스크, bisque,"255,228,196","232.42,107.44,144.1"
30,나바조화이트, navajowhite,"255,222,173","226.28,97.93,148.48"
31,모카신, moccasin,"255,228,181","230.71,99.94,145.32"
32,피치퍼프, peachpuff,"255,218,185","225.3,105.26,149.18"
33,위트, wheat,"245,222,179","223.97,102.62,143.0"
34,팔레골덴로드, palegoldenrod,"238,232,170","226.73,95.99,136.04"
35,카키, khaki,"240,230,140","222.73,81.31,140.32"
36,다크카키, darkkhaki,"189,183,107","176.13,88.99,137.18"
37,옐로우그린, yellowgreen,"154,205,50","172.08,59.11,115.1"
38,그린옐로우, greenyellow,"173,255,47","206.77,37.84,103.91"
39,차트리우스, chartreuse,"127,255,0","187.66,22.1,84.73"
40,라운그린, lawngreen,"124,252,0","185.0,23.6,84.49"
41,라임, lime,"0,255,0","149.69,43.53,21.23"
42,라임그린, limegreen,"50,205,50","140.98,76.65,63.1"
43,올리브, olive,"128,128,0","113.41,64.0,138.41"
44,올리브드래브, olivedrab,"107,142,35","119.34,80.41,119.2"
45,다크올리브그린, darkolivegreen,"85,107,47","93.58,101.71,121.88"
46,포레스트그린, forestgreen,"34,139,34","95.63,93.22,84.04"
47,그린, green,"0,128,0","75.14,85.6,74.41"
48,다크그린, darkgreen,"0,100,0","58.7,94.87,86.13"
49,씨그린, seagreen,"46,139,87","105.27,117.69,85.73"
50,미디움씨그린, mediumseagreen,"60,179,113","135.89,115.08,73.87"
51,미디움스프링그린, mediumspringgreen,"0,250,154","164.31,122.19,10.81"
52,스프링그린, springgreen,"0,255,127","164.16,107.03,10.91"
53,팔레그린, palegreen,"152,251,152","210.11,95.21,86.55"
54,라이트그린, lightgreen,"144,238,144","199.18,96.86,88.64"
55,다크씨그린, darkseagreen,"143,188,143","169.41,113.09,109.16"
